k,avg_error_A0_standard_PCA,avg_error_A1_standard_PCA,avg_loss_A0_standard_PCA,avg_loss_A1_standard_PCA,avg_error_A0_fair_PCA,avg_error_A1_fair_PCA,avg_loss_A0_fair_PCA,avg_loss_A1_fair_PCA,rank_fair_PCA,avg_error_A0_LAFTR,avg_error_A1_LAFTR,avg_loss_A0_LAFTR,avg_loss_A1_LAFTR
1,3.6958021793381493,4.050067277657052,0.09884055082162313,0.09662211975817132,3.5987829329252388,3.955266462437318,0.0018213044087123365,0.0018213045384370733,1.0,,,,
2,2.6644718781806493,2.90327266269234,0.03773668146553406,0.0346954833265709,2.659460091874173,2.901302070369228,0.032724895159057785,0.032724891003458864,2.0,2.739072123866639,2.90740082610556,0.11233692715152359,0.038823646739791
3,2.245819707984225,2.407693929696067,0.08827352070112897,0.055824032862895966,2.2266749308234166,2.4209984769420747,0.0691287435403205,0.06912858010890403,3.0,2.2790152403683845,2.313539610297007,0.12146905308528852,-0.038330286536163716
4,1.8275014809328187,1.964595824575683,0.04517926536298289,0.029892960473375807,1.8168006019763774,1.9691812559908533,0.03447838640654163,0.03447839188854603,4.0,1.8852446874298139,2.098657067061597,0.10292247185997808,0.1639542029592899
5,1.5031019738365723,1.6737169882727805,0.03882914169922728,0.0967522370182638,1.5321595371341619,1.6448511402246784,0.06788670499681683,0.06788638897016178,5.0,1.6254166168118853,1.7377795846580333,0.1611437846745401,0.16081483340351665
6,1.28635423168915,1.3237854679064005,0.032579153505585934,0.018471492732185627,1.2782702219946085,1.3298090679009906,0.024495143811044395,0.02449509272677563,6.0,1.445011688100765,1.54363171906014,0.19123660991720096,0.23831774388592522
7,1.0910209173335919,1.1192868464652248,0.02933990387144195,0.026491424922272674,1.087815590487682,1.1189301086145234,0.026134577025532166,0.026134687071571128,7.0,1.22877919587259,1.2834315976198627,0.16709818241044017,0.19063617607691047
8,0.9277379542555851,0.9138983590170427,0.035168742300181674,0.02150679279921342,0.9196565326129225,0.9194788551090497,0.027087320657518996,0.02708728889122032,8.0,1.2288866539415901,1.2182890246762195,0.33631744198618657,0.32589745845839
9,0.7631107200380874,0.754437860212396,0.03052953070643501,0.018817766195147342,0.7560492949783135,0.7590878925567837,0.023468105646661186,0.02346779853953505,9.0,1.0676309320472321,1.0875243245867134,0.33504974271557986,0.3519042305694649
10,0.6017307840000365,0.60802052654298,0.021354379288863332,0.021963196953811433,0.600317375549081,0.605998343804849,0.019940970837907825,0.019941014215680487,10.0,1.0501390894449958,0.9930805116612809,0.46976268473382254,0.40702318207211236
